Preprocessing took 0.00 seconds.
   Loading /home/tyler/anaconda3/envs/dw/data/marmousi/deepwave_example/shots16/vp_init.pt...torch.Size([600, 250])
   Loading /home/tyler/anaconda3/envs/dw/data/marmousi/deepwave_example/shots16/src_amp_y.pt...torch.Size([16, 1, 300])
   Loading /home/tyler/anaconda3/envs/dw/data/marmousi/deepwave_example/shots16/obs_data.pt...torch.Size([16, 100, 300])
   Loading /home/tyler/anaconda3/envs/dw/data/marmousi/deepwave_example/shots16/src_loc_y.pt...torch.Size([16, 1, 2])
   Loading /home/tyler/anaconda3/envs/dw/data/marmousi/deepwave_example/shots16/rec_loc_y.pt...torch.Size([16, 100, 2])
Preprocess time rank 1: 0.30 seconds.
rank: 1, iter: 1, loss: 2.13e+05, training.loss: 2.13e+05, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 4.01e+01, rank: 1
rank: 1, iter: 2, loss: 9.28e+04, training.loss: 9.28e+04, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 4.01e+01, rank: 1
rank: 1, iter: 3, loss: 4.86e+04, training.loss: 4.86e+04, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 4.04e+01, rank: 1
rank: 1, iter: 4, loss: 1.74e+04, training.loss: 1.74e+04, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 4.04e+01, rank: 1
rank: 1, iter: 5, loss: 3.90e+03, training.loss: 3.90e+03, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 4.04e+01, rank: 1
rank: 1, iter: 6, loss: 1.97e+02, training.loss: 1.97e+02, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 4.06e+01, rank: 1
rank: 1, iter: 7, loss: 1.96e+02, training.loss: 1.96e+02, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 4.06e+01, rank: 1
rank: 1, iter: 8, loss: 2.01e+02, training.loss: 2.01e+02, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 3.55e+01, rank: 1
rank: 1, iter: 9, loss: 1.35e+02, training.loss: 1.35e+02, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 4.02e+01, rank: 1
rank: 1, iter: 10, loss: 1.22e+02, training.loss: 1.22e+02, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 4.06e+01, rank: 1
rank: 1, iter: 11, loss: 1.15e+02, training.loss: 1.15e+02, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 4.07e+01, rank: 1
rank: 1, iter: 12, loss: 1.09e+02, training.loss: 1.09e+02, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 4.07e+01, rank: 1
rank: 1, iter: 13, loss: 8.66e+01, training.loss: 8.66e+01, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 4.07e+01, rank: 1
rank: 1, iter: 14, loss: 7.19e+01, training.loss: 7.19e+01, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 4.08e+01, rank: 1
rank: 1, iter: 15, loss: 6.74e+01, training.loss: 6.74e+01, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 4.09e+01, rank: 1
rank: 1, iter: 16, loss: 6.47e+01, training.loss: 6.47e+01, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 4.09e+01, rank: 1
