Preprocessing took 0.00 seconds.
   Loading /home/tyler/anaconda3/envs/dw/data/marmousi/deepwave_example/shots16/vp_init.pt...torch.Size([600, 250])
   Loading /home/tyler/anaconda3/envs/dw/data/marmousi/deepwave_example/shots16/src_amp_y.pt...torch.Size([16, 1, 300])
   Loading /home/tyler/anaconda3/envs/dw/data/marmousi/deepwave_example/shots16/obs_data.pt...torch.Size([16, 100, 300])
   Loading /home/tyler/anaconda3/envs/dw/data/marmousi/deepwave_example/shots16/src_loc_y.pt...torch.Size([16, 1, 2])
   Loading /home/tyler/anaconda3/envs/dw/data/marmousi/deepwave_example/shots16/rec_loc_y.pt...torch.Size([16, 100, 2])
Preprocess time rank 1: 0.26 seconds.
rank: 1, iter: 1, loss: 6.31e+05, training.loss: 6.31e+05, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 4.01e+01, rank: 1
rank: 1, iter: 2, loss: 2.75e+05, training.loss: 2.75e+05, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 4.01e+01, rank: 1
rank: 1, iter: 3, loss: 1.43e+05, training.loss: 1.43e+05, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 4.04e+01, rank: 1
rank: 1, iter: 4, loss: 5.11e+04, training.loss: 5.11e+04, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 4.04e+01, rank: 1
rank: 1, iter: 5, loss: 1.09e+04, training.loss: 1.09e+04, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 4.04e+01, rank: 1
rank: 1, iter: 6, loss: 1.97e+02, training.loss: 1.97e+02, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 4.06e+01, rank: 1
rank: 1, iter: 7, loss: 2.91e+02, training.loss: 2.91e+02, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 2.91e+01, rank: 1
rank: 1, iter: 8, loss: 4.26e+02, training.loss: 4.26e+02, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 5.24e+01, rank: 1
rank: 1, iter: 9, loss: 4.17e+02, training.loss: 4.17e+02, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 5.19e+01, rank: 1
rank: 1, iter: 10, loss: 2.79e+02, training.loss: 2.79e+02, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 3.37e+01, rank: 1
rank: 1, iter: 11, loss: 2.79e+02, training.loss: 2.79e+02, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 3.37e+01, rank: 1
rank: 1, iter: 12, loss: 2.76e+02, training.loss: 2.76e+02, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 3.39e+01, rank: 1
rank: 1, iter: 13, loss: 2.76e+02, training.loss: 2.76e+02, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 3.39e+01, rank: 1
rank: 1, iter: 14, loss: 2.76e+02, training.loss: 2.76e+02, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 3.39e+01, rank: 1
rank: 1, iter: 15, loss: 2.76e+02, training.loss: 2.76e+02, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 3.39e+01, rank: 1
rank: 1, iter: 16, loss: 2.76e+02, training.loss: 2.76e+02, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 3.39e+01, rank: 1
rank: 1, iter: 17, loss: 2.76e+02, training.loss: 2.76e+02, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 3.39e+01, rank: 1
rank: 1, iter: 18, loss: 2.76e+02, training.loss: 2.76e+02, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 3.39e+01, rank: 1
rank: 1, iter: 19, loss: 2.76e+02, training.loss: 2.76e+02, lr: 1.000e+00, obs_data.norm: 4.18e+01, out.norm: 3.39e+01, rank: 1
